feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,targetfeature
90,RL,64,7018,Pave,Reg,Bnk,AllPub,Gtl,5,5,1979,0,TA,Fa,0,0,0,TA,Y,1535,0,0,2,0,4,2,TA,8,Typ,0,NA,1979,2,410,Y,0,0,0,0,0,0,0,6,2009,NA,NA,NA,118964
20,RL,94,10402,Pave,IR1,Lvl,AllPub,Gtl,7,5,2009,0,TA,TA,0,1226,1226,Ex,Y,1226,0,0,2,0,3,1,Gd,6,Typ,0,NA,2009,3,740,Y,0,36,0,0,0,0,0,5,2010,NA,NA,NA,198900
50,RM,NA,7758,Pave,Reg,Lvl,AllPub,Gtl,7,4,1931,600,TA,Fa,224,816,1040,Ex,Y,1818,0,0,1,1,4,1,TA,7,Typ,2,TA,1951,1,240,Y,0,0,0,0,184,0,0,6,2007,NA,NA,NA,169500
60,FV,75,9375,Pave,Reg,Lvl,AllPub,Gtl,8,5,2003,768,Gd,TA,0,1053,1053,Ex,Y,1992,0,0,2,1,3,1,Gd,9,Typ,1,Gd,2003,2,648,Y,140,45,0,0,0,0,0,8,2008,NA,NA,NA,250000
30,RM,60,10800,Pave,Reg,Lvl,AllPub,Gtl,4,7,1885,0,TA,TA,0,641,641,Gd,Y,1047,0,0,1,0,2,1,TA,6,Typ,0,NA,1954,1,273,N,0,0,0,0,0,0,450,8,2007,NA,NA,Shed,100000
20,RM,50,6000,Pave,Reg,Lvl,AllPub,Gtl,5,5,1948,0,TA,TA,104,516,789,Ex,Y,789,0,0,1,0,2,1,TA,5,Typ,0,NA,1948,1,250,Y,0,0,0,0,0,0,0,4,2008,NA,NA,NA,115000
50,RM,85,8500,Pave,Reg,Lvl,AllPub,Gtl,5,7,1919,0,TA,TA,0,793,793,TA,N,1517,0,0,2,0,3,1,Fa,7,Typ,0,NA,NA,0,0,N,0,0,144,0,0,0,0,8,2007,NA,NA,NA,115000
20,RL,105,11751,Pave,IR1,Lvl,AllPub,Gtl,6,6,1977,480,TA,TA,705,1139,1844,Ex,Y,1844,0,0,2,0,3,1,TA,7,Typ,1,TA,1977,2,546,Y,0,122,0,0,0,0,0,1,2010,NA,MnPrv,NA,190000
50,RL,75,9525,Pave,Reg,Lvl,AllPub,Gtl,6,4,1954,0,TA,TA,444,550,994,Gd,Y,1855,0,0,2,0,4,1,TA,7,Typ,0,NA,1954,1,325,Y,182,0,0,0,0,0,0,10,2006,NA,NA,NA,136900
80,RL,NA,7750,Pave,IR1,Lvl,AllPub,Gtl,7,5,2000,0,TA,TA,250,134,384,Ex,Y,1430,0,0,2,1,3,1,TA,7,Typ,1,TA,2000,2,400,Y,180,0,0,0,0,0,0,4,2010,NA,NA,NA,180000
60,RL,77,9965,Pave,Reg,Lvl,AllPub,Gtl,7,5,2007,220,Gd,TA,984,280,1264,Ex,Y,2696,1,0,2,1,4,1,Ex,10,Typ,1,Gd,2007,3,792,Y,120,184,0,0,168,0,0,10,2007,NA,NA,NA,383970
20,RL,NA,21000,Pave,Reg,Bnk,AllPub,Gtl,6,5,1953,184,TA,Gd,35,905,1809,TA,Y,2259,1,0,2,0,3,1,Gd,7,Typ,2,Gd,1953,2,450,Y,166,120,192,0,0,0,0,10,2007,NA,MnPrv,NA,217000
70,RL,61,7259,Pave,IR1,Lvl,AllPub,Mod,6,8,1945,0,TA,TA,774,104,1028,Ex,Y,2320,1,0,2,1,3,1,Gd,9,Typ,1,TA,1945,1,180,Y,224,0,0,0,0,0,0,7,2007,NA,MnPrv,NA,259500
160,FV,34,3230,Pave,Reg,Lvl,AllPub,Gtl,6,5,1999,1129,TA,TA,419,310,729,Gd,Y,1458,0,0,2,1,2,1,TA,5,Typ,1,Fa,1999,2,440,Y,0,32,0,0,0,0,0,6,2007,NA,NA,NA,176000
20,RL,NA,11616,Pave,Reg,Lvl,AllPub,Gtl,5,5,1962,116,TA,TA,170,252,1092,TA,Y,1092,0,1,1,0,3,1,TA,6,Typ,1,Po,1962,1,288,Y,0,20,144,0,0,0,0,9,2009,NA,NA,NA,139000
20,RL,74,8536,Pave,Reg,Lvl,AllPub,Gtl,5,5,2006,0,TA,TA,0,1125,1125,Gd,Y,1125,0,0,1,1,2,1,TA,5,Typ,0,NA,2007,2,430,Y,80,64,0,0,0,0,0,4,2007,NA,NA,NA,155000
60,RL,90,12376,Pave,Reg,Lvl,AllPub,Gtl,7,5,1990,0,TA,TA,1470,203,1673,Gd,Y,3222,1,0,3,0,5,1,Gd,11,Typ,2,TA,1990,3,594,Y,367,0,0,0,0,0,0,5,2010,NA,NA,NA,320000
60,RL,65,8461,Pave,Reg,Lvl,AllPub,Gtl,6,5,2005,0,Gd,TA,0,728,728,Ex,Y,1456,0,0,2,1,3,1,Gd,8,Typ,1,Gd,2005,2,390,Y,0,24,0,0,0,0,0,7,2006,NA,NA,NA,163990
80,RL,NA,21453,Pave,IR1,Low,AllPub,Sev,6,5,1969,0,TA,TA,938,0,938,Ex,Y,988,1,0,1,0,1,1,TA,4,Typ,2,TA,1969,2,540,Y,0,130,0,130,0,0,0,10,2006,NA,NA,NA,180000
50,RM,50,6060,Pave,Reg,Lvl,AllPub,Gtl,4,5,1939,0,TA,TA,0,732,732,Gd,Y,1123,0,0,1,0,3,1,TA,4,Typ,0,NA,1979,1,264,P,0,0,140,0,0,0,0,6,2007,NA,MnPrv,NA,100000
20,RL,75,9464,Pave,Reg,Lvl,AllPub,Gtl,6,7,1958,135,TA,Gd,570,510,1080,Gd,Y,1080,0,0,1,0,3,1,TA,5,Typ,0,NA,1958,1,288,Y,0,0,0,0,130,0,0,6,2008,NA,NA,NA,136000
120,RL,55,7892,Pave,Reg,Lvl,AllPub,Gtl,6,5,1993,0,Gd,TA,300,899,1199,Ex,Y,1199,0,0,2,0,2,1,Gd,5,Typ,0,NA,1993,2,530,Y,0,63,0,0,0,0,0,3,2008,NA,NA,NA,153900
20,RL,48,17043,Pave,IR1,Lvl,AllPub,Gtl,6,5,1979,0,TA,Gd,0,1362,1362,TA,Y,1586,0,0,2,0,3,1,TA,7,Typ,1,TA,1979,2,435,Y,192,0,0,0,0,0,0,1,2009,NA,NA,NA,181000
190,RM,60,6780,Pave,Reg,Lvl,AllPub,Gtl,6,8,1935,0,TA,Fa,490,30,520,Gd,N,754,1,0,1,0,2,1,TA,5,Typ,0,NA,NA,0,0,N,53,0,0,0,0,0,0,6,2006,NA,NA,NA,84500
120,RL,NA,4928,Pave,IR1,Lvl,AllPub,Gtl,6,5,1976,0,TA,TA,120,958,1078,TA,Y,958,0,0,2,0,2,1,TA,5,Typ,1,TA,1977,2,440,Y,0,205,0,0,0,0,0,2,2007,NA,NA,NA,128000
45,RM,55,4388,Pave,IR1,Bnk,AllPub,Gtl,5,7,1930,0,TA,Gd,116,556,672,Ex,Y,840,0,0,1,0,3,1,TA,5,Typ,1,TA,NA,0,0,N,0,0,0,0,0,0,0,6,2007,NA,NA,NA,87000
60,RL,69,7590,Pave,Reg,Lvl,AllPub,Gtl,6,5,1966,266,TA,TA,512,148,660,TA,Y,1348,0,0,1,1,3,1,TA,6,Typ,1,Fa,1966,2,453,Y,188,108,0,0,0,0,0,7,2006,NA,NA,NA,155000
20,RL,69,8973,Pave,Reg,Lvl,AllPub,Gtl,5,7,1958,85,TA,TA,567,413,1008,TA,Y,1053,0,1,1,1,3,1,Ex,6,Typ,0,NA,1998,2,750,Y,0,80,0,180,0,0,0,7,2006,NA,MnWw,NA,150000
60,RL,88,14200,Pave,Reg,Lvl,AllPub,Gtl,7,6,1966,309,TA,TA,445,479,924,Ex,Y,2157,0,0,2,1,4,1,Gd,8,Typ,2,Gd,1966,2,487,Y,105,66,0,0,0,0,0,5,2006,NA,GdPrv,NA,226000
60,RL,NA,12224,Pave,IR1,Lvl,AllPub,Gtl,6,5,2000,40,Gd,TA,695,297,992,Ex,Y,2054,1,0,2,1,3,1,Gd,7,Typ,1,TA,2000,2,390,Y,24,48,0,0,0,0,0,7,2009,NA,NA,NA,244000
20,RL,75,7388,Pave,Reg,Lvl,AllPub,Gtl,5,6,1959,0,TA,TA,405,658,1063,Gd,Y,1327,1,0,1,0,3,1,Gd,7,Typ,0,NA,1974,2,624,Y,0,0,0,0,0,0,0,7,2007,NA,NA,NA,150750
20,RL,NA,6853,Pave,IR1,Lvl,AllPub,Gtl,8,5,2001,136,Gd,TA,1005,262,1267,Ex,Y,1296,1,0,2,0,2,1,Gd,6,Typ,0,NA,2001,2,471,Y,192,25,0,0,0,0,0,6,2009,NA,NA,NA,220000
20,RL,78,10335,Pave,IR1,Lvl,AllPub,Gtl,5,6,1968,0,TA,TA,570,891,1461,Gd,Y,1721,0,0,2,1,3,1,TA,7,Min1,1,TA,1968,2,440,Y,0,96,180,0,0,0,0,7,2006,NA,MnPrv,NA,180000
20,RL,80,10400,Pave,Reg,Lvl,AllPub,Gtl,7,6,1970,288,TA,TA,0,1304,1304,Gd,Y,1682,0,0,2,0,3,1,TA,7,Typ,1,Gd,1970,2,530,Y,98,0,0,0,0,0,0,5,2008,NA,MnPrv,NA,174000
20,RL,NA,10355,Pave,IR1,Lvl,AllPub,Gtl,5,5,1967,196,TA,TA,695,519,1214,TA,Y,1214,0,0,2,0,3,1,TA,5,Typ,1,Fa,1967,1,318,Y,0,111,0,0,0,0,0,7,2007,NA,NA,NA,143000
90,RL,82,11070,Pave,Reg,Lvl,AllPub,Gtl,7,5,1988,70,TA,TA,0,1907,1907,Gd,Y,1959,0,0,3,0,5,2,TA,9,Typ,0,NA,1989,3,766,Y,0,0,0,0,0,0,0,7,2006,NA,NA,NA,171000
60,RL,73,9066,Pave,IR1,Lvl,AllPub,Gtl,8,5,1999,320,Gd,TA,668,336,1004,Ex,Y,1852,0,0,2,1,3,1,Gd,7,Typ,2,TA,1999,3,660,Y,224,106,0,0,0,0,0,12,2008,NA,GdPrv,NA,230000
60,RL,65,15426,Pave,IR1,Lvl,AllPub,Gtl,6,5,1997,0,TA,TA,821,107,928,Ex,Y,1764,1,0,2,1,3,1,Gd,7,Typ,0,NA,1997,2,470,Y,276,99,0,0,0,0,0,8,2009,NA,MnPrv,NA,231500
20,RL,70,10500,Pave,Reg,Lvl,AllPub,Gtl,4,5,1971,0,TA,TA,432,432,864,TA,Y,864,0,0,1,0,3,1,TA,5,Typ,1,Po,NA,0,0,Y,0,0,0,0,0,0,0,4,2010,NA,NA,NA,115000
20,RL,78,11645,Pave,Reg,Lvl,AllPub,Gtl,7,5,2005,0,Gd,TA,1300,434,1734,Ex,Y,1734,1,0,2,0,3,1,Gd,7,Typ,0,NA,2005,2,660,Y,160,24,0,0,0,0,0,1,2006,NA,NA,NA,260000
50,RL,71,8520,Pave,Reg,Lvl,AllPub,Gtl,5,4,1952,0,TA,Fa,507,403,910,Fa,Y,1385,0,0,2,0,4,1,TA,6,Typ,0,NA,2000,2,720,Y,0,0,0,0,0,0,0,6,2010,NA,MnPrv,NA,166000
20,RL,78,10335,Pave,IR1,Lvl,AllPub,Gtl,7,5,1999,183,Gd,TA,679,811,1490,Ex,Y,1501,1,0,2,0,3,1,Gd,6,Typ,0,NA,1999,2,577,Y,144,29,0,0,0,0,0,6,2009,NA,NA,NA,204000
90,RM,70,9100,Pave,Reg,Lvl,AllPub,Gtl,5,5,1963,336,TA,TA,1332,396,1728,TA,Y,1728,1,0,2,0,6,2,TA,10,Typ,0,NA,1963,2,504,Y,0,0,0,0,0,0,0,11,2006,NA,NA,NA,125000
160,RM,24,2522,Pave,Reg,Lvl,AllPub,Gtl,6,5,2004,50,Gd,TA,0,970,970,Ex,Y,1709,0,0,2,0,3,1,Gd,7,Maj1,0,NA,2004,2,380,Y,0,40,0,0,0,0,0,4,2006,NA,NA,NA,130000
30,RM,51,6120,Pave,Reg,Lvl,AllPub,Gtl,5,7,1931,0,TA,TA,209,506,715,TA,Y,875,1,0,1,0,2,1,TA,5,Typ,0,NA,1931,1,180,Y,48,0,0,0,0,0,0,11,2009,NA,NA,NA,105000
60,RL,NA,9505,Pave,IR1,Lvl,AllPub,Gtl,7,5,2001,180,Gd,TA,0,884,884,Ex,Y,2035,0,0,2,1,3,1,Gd,8,Typ,1,Gd,2001,2,434,Y,144,48,0,0,0,0,0,5,2010,NA,NA,NA,222500
20,RL,63,7500,Pave,Reg,Lvl,AllPub,Gtl,7,5,2004,120,TA,TA,680,400,1080,Ex,Y,1080,1,0,1,0,3,1,Gd,6,Typ,0,NA,NA,0,0,Y,0,0,0,0,0,0,0,4,2008,NA,NA,NA,141000
50,RM,NA,6240,Pave,Reg,Lvl,AllPub,Gtl,5,4,1936,0,TA,TA,0,896,896,Gd,Y,1344,0,0,1,0,3,1,TA,7,Typ,0,NA,1936,1,240,Y,200,114,0,0,0,0,0,4,2006,NA,NA,NA,115000
20,RL,120,10356,Pave,Reg,Lvl,AllPub,Gtl,5,6,1975,0,TA,TA,716,253,969,TA,Y,969,0,0,1,1,3,1,TA,5,Typ,0,NA,1975,2,440,Y,0,0,0,0,0,0,0,1,2007,NA,MnPrv,NA,122000
20,RL,107,13891,Pave,Reg,Lvl,AllPub,Gtl,8,5,2007,436,Gd,TA,1400,310,1710,Ex,Y,1710,1,0,2,0,2,1,Gd,6,Typ,1,Gd,2007,3,866,Y,0,102,0,0,0,0,0,1,2008,NA,NA,NA,372402
60,RL,NA,14803,Pave,IR1,Lvl,AllPub,Gtl,6,5,1971,252,TA,TA,416,409,825,Gd,Y,1993,0,0,2,1,4,1,TA,8,Typ,1,Gd,1971,2,495,Y,0,66,0,0,0,0,0,6,2006,NA,GdWo,NA,190000
20,RL,NA,13500,Pave,Reg,Lvl,AllPub,Gtl,6,7,1960,0,TA,TA,429,93,1602,Gd,Y,1252,1,0,1,0,1,1,TA,4,Typ,1,Gd,1960,2,564,Y,409,0,0,0,0,0,0,3,2008,NA,NA,NA,235000
30,RM,84,11340,Pave,Reg,Lvl,AllPub,Gtl,6,5,1923,0,TA,TA,0,1200,1200,TA,Y,1200,0,0,1,0,4,1,TA,7,Typ,0,NA,1923,1,312,Y,0,0,228,0,0,0,0,3,2006,NA,NA,NA,125000
50,RL,60,9600,Pave,Reg,Lvl,AllPub,Gtl,6,5,1924,0,TA,TA,0,572,572,Fa,N,1096,0,0,1,0,2,1,TA,5,Typ,0,NA,NA,0,0,N,0,8,128,0,0,0,0,4,2008,NA,NA,NA,79000
20,RL,60,7200,Pave,Reg,Lvl,AllPub,Gtl,5,7,1950,0,TA,TA,0,0,0,TA,Y,1040,0,0,1,0,2,1,TA,5,Typ,0,NA,1950,2,625,Y,0,0,0,0,0,0,0,6,2006,NA,NA,NA,109500
60,RL,92,12003,Pave,Reg,Lvl,AllPub,Gtl,8,5,2009,84,Gd,TA,0,774,774,Ex,Y,1968,0,0,2,1,4,1,Ex,8,Typ,1,Gd,2009,3,680,Y,0,75,0,0,0,0,0,5,2010,NA,NA,NA,269500
60,FV,100,12552,Pave,Reg,Lvl,AllPub,Gtl,7,5,2004,0,Gd,TA,222,769,991,Ex,Y,1947,0,0,2,1,3,1,Gd,8,Typ,1,Gd,2004,2,678,Y,0,136,0,0,0,0,0,5,2010,NA,GdWo,NA,254900
60,RL,134,19378,Pave,IR1,HLS,AllPub,Gtl,7,5,2005,456,Gd,TA,57,1335,1392,Ex,Y,2462,1,0,2,1,4,1,Gd,9,Typ,1,Gd,2006,2,576,Y,239,132,0,168,0,0,0,3,2006,NA,NA,NA,320000
20,RL,NA,11120,Pave,IR1,Lvl,AllPub,Gtl,6,6,1984,0,TA,TA,660,572,1232,TA,Y,1232,0,0,2,0,3,1,TA,6,Typ,0,NA,1984,2,516,Y,0,0,0,0,0,0,0,6,2008,NA,NA,NA,162500
60,RL,110,13688,Pave,IR1,Lvl,AllPub,Gtl,9,5,2003,664,Gd,TA,1016,556,1572,Ex,Y,2668,1,0,2,1,3,1,Ex,10,Typ,2,Gd,2003,3,726,Y,400,0,0,0,0,0,0,3,2008,NA,NA,NA,412500
20,RL,95,12182,Pave,Reg,Lvl,AllPub,Gtl,7,5,2005,226,Gd,TA,1201,340,1541,Ex,Y,1541,0,0,2,0,3,1,Gd,7,Typ,1,Gd,2005,2,532,Y,0,70,0,0,0,0,0,5,2010,NA,NA,NA,220000
45,RL,55,5500,Pave,Reg,Lvl,AllPub,Gtl,4,6,1956,0,TA,TA,0,882,882,Ex,Y,882,0,0,1,0,1,1,TA,4,Typ,0,NA,NA,0,0,Y,0,0,0,0,0,0,0,4,2007,NA,MnPrv,NA,103200
40,RM,40,5400,Pave,Reg,Lvl,AllPub,Gtl,6,7,1926,0,TA,Gd,370,779,1149,Gd,Y,1616,0,0,2,0,3,1,Gd,5,Typ,0,NA,1926,1,216,Y,0,0,183,0,0,0,0,10,2007,NA,NA,NA,152000
190,RL,62,10106,Pave,Reg,Lvl,AllPub,Gtl,5,7,1940,0,TA,Gd,351,112,644,Gd,Y,1355,1,0,2,0,4,2,TA,6,Typ,0,NA,NA,0,0,Y,140,0,0,0,0,0,0,9,2008,NA,NA,NA,127500
20,RL,NA,10708,Pave,IR1,Lvl,AllPub,Gtl,5,5,1955,0,Gd,TA,379,470,1617,Ex,Y,1867,1,0,1,0,2,1,TA,7,Typ,3,Gd,1955,1,303,Y,476,0,0,0,142,0,0,11,2009,NA,GdWo,NA,190000
60,RL,86,10562,Pave,Reg,Lvl,AllPub,Gtl,8,5,2007,300,Gd,TA,1288,294,1582,Ex,Y,2161,1,0,1,1,3,1,Ex,8,Typ,1,Gd,2007,3,789,Y,178,120,0,0,0,0,0,11,2007,NA,NA,NA,325624
60,RL,62,8244,Pave,IR1,Lvl,AllPub,Gtl,7,5,2004,0,Gd,TA,0,840,840,Ex,Y,1720,0,0,2,1,3,1,Gd,7,Typ,1,Gd,2004,2,440,Y,100,48,0,0,0,0,0,5,2007,NA,NA,NA,183500
20,RL,NA,16669,Pave,IR1,Lvl,AllPub,Gtl,8,6,1981,653,Gd,TA,0,1686,1686,TA,Y,1707,0,0,2,1,2,1,TA,6,Typ,1,TA,1981,2,511,Y,574,64,0,0,0,0,0,1,2006,NA,NA,NA,228000
50,RM,NA,12358,Pave,IR1,Lvl,AllPub,Gtl,5,6,1941,0,TA,TA,360,360,720,TA,Y,1382,0,0,1,1,2,1,TA,7,Typ,0,NA,1991,2,660,Y,237,0,0,0,0,0,0,5,2007,NA,NA,NA,128500
20,RL,141,31770,Pave,IR1,Lvl,AllPub,Gtl,6,5,1960,112,TA,TA,639,441,1080,Fa,Y,1656,1,0,1,0,3,1,TA,7,Typ,2,Gd,1960,2,528,P,210,62,0,0,0,0,0,5,2010,NA,NA,NA,215000
160,RL,44,5306,Pave,IR1,Lvl,AllPub,Gtl,7,7,1987,0,Gd,Gd,495,354,1064,Gd,Y,1767,1,0,2,0,2,1,Gd,5,Typ,1,TA,1987,2,504,Y,441,35,0,0,0,0,0,6,2006,NA,NA,NA,239000
20,RL,80,10197,Pave,IR1,Lvl,AllPub,Gtl,6,5,1961,491,TA,TA,288,700,1362,TA,Y,1362,1,0,1,1,3,1,TA,6,Typ,1,TA,1961,2,504,Y,0,20,0,0,0,0,0,6,2008,NA,NA,NA,163000
20,RL,47,12416,Pave,IR1,Lvl,AllPub,Gtl,6,5,1986,132,TA,TA,1398,0,1606,TA,Y,1651,1,0,2,0,3,1,TA,7,Min2,1,TA,1986,2,616,Y,192,0,0,0,0,0,0,11,2008,NA,NA,NA,184000
20,RL,84,12615,Pave,Reg,Lvl,AllPub,Gtl,6,7,1950,0,TA,TA,477,725,1202,TA,Y,2158,1,0,2,0,4,1,Gd,7,Typ,1,Gd,1950,2,576,Y,0,29,39,0,0,0,0,6,2007,NA,MnPrv,NA,243000
60,RL,97,10029,Pave,IR1,Lvl,AllPub,Gtl,6,5,1988,268,Gd,TA,831,320,1151,TA,Y,2060,0,1,2,1,4,1,TA,8,Typ,1,TA,1988,2,521,Y,0,228,0,0,192,0,0,9,2007,NA,NA,NA,211000
50,RL,NA,13650,Pave,Reg,Lvl,AllPub,Gtl,5,5,1958,0,Gd,Gd,57,554,1052,Ex,Y,1920,1,0,2,0,4,1,Gd,8,Typ,1,Gd,1958,2,451,Y,0,0,0,0,0,0,0,7,2006,NA,NA,NA,172500
20,RL,63,17423,Pave,IR1,Lvl,AllPub,Gtl,9,5,2008,748,Ex,TA,1904,312,2216,Ex,Y,2234,1,0,2,0,1,1,Ex,9,Typ,1,Gd,2009,3,1166,Y,0,60,0,0,0,0,0,7,2009,NA,NA,NA,501837
30,RM,60,8520,Pave,Reg,Lvl,AllPub,Gtl,5,6,1923,0,Gd,TA,0,968,968,TA,Y,968,0,0,1,0,2,1,TA,5,Typ,0,NA,1935,2,480,N,0,0,184,0,0,0,0,7,2007,NA,NA,NA,100000
160,FV,NA,2117,Pave,Reg,Lvl,AllPub,Gtl,6,5,2000,456,Gd,TA,436,320,756,Ex,Y,1525,0,0,2,1,3,1,Gd,5,Typ,1,TA,2000,2,440,Y,0,0,0,0,0,0,0,6,2007,NA,NA,NA,177000
70,RL,54,7588,Pave,Reg,Lvl,AllPub,Gtl,7,6,1920,0,TA,TA,352,441,793,Gd,Y,1802,0,0,1,1,4,1,TA,9,Typ,1,Gd,1920,1,216,Y,0,0,40,0,0,0,0,7,2006,NA,NA,NA,200100
20,RL,60,9060,Pave,Reg,Lvl,AllPub,Gtl,5,6,1957,98,TA,TA,0,0,0,Ex,Y,1340,0,0,1,0,3,1,TA,7,Typ,1,Gd,1957,1,252,Y,116,0,0,180,0,0,0,6,2007,NA,MnPrv,NA,120000
50,RM,63,11426,Pave,Reg,Lvl,AllPub,Gtl,7,5,2003,0,TA,TA,0,1362,1362,Ex,Y,2082,0,0,2,1,3,1,Gd,6,Mod,0,NA,2003,2,484,N,280,238,0,0,0,0,0,6,2008,NA,NA,NA,200000
50,RL,92,7438,Pave,IR1,Lvl,AllPub,Gtl,5,8,1908,0,TA,TA,0,504,504,Gd,Y,1252,0,0,1,0,3,1,TA,5,Typ,0,NA,1986,2,576,Y,104,0,0,0,0,0,0,6,2006,NA,MnPrv,NA,127000
75,RM,90,22950,Pave,IR2,Lvl,AllPub,Gtl,10,9,1892,0,Gd,Gd,0,1107,1107,Ex,Y,3608,0,0,2,1,4,1,Ex,12,Typ,2,TA,1993,3,840,Y,0,260,0,0,410,0,0,6,2006,NA,GdPrv,NA,475000
80,RL,NA,9947,Pave,IR1,Lvl,AllPub,Gtl,7,5,1990,0,TA,TA,611,577,1188,Ex,Y,1217,1,0,2,0,3,1,Gd,6,Typ,0,NA,1990,2,497,Y,168,27,0,0,0,0,0,6,2009,NA,GdPrv,NA,173000
50,RL,60,10410,Pave,Reg,Lvl,AllPub,Gtl,5,7,1916,0,TA,TA,0,660,660,Ex,Y,1656,0,0,2,1,3,1,TA,8,Min2,0,NA,1916,1,180,N,0,0,0,140,0,0,0,8,2009,NA,MnPrv,NA,135000
90,RL,64,7018,Pave,Reg,Bnk,AllPub,Gtl,5,5,1979,275,TA,TA,1086,0,1086,TA,Y,1224,2,0,0,2,2,2,TA,6,Typ,2,TA,1979,2,528,Y,120,0,0,0,0,0,0,6,2009,NA,NA,NA,153337
120,RL,41,4923,Pave,Reg,Lvl,AllPub,Gtl,8,5,2001,0,Gd,TA,1153,440,1593,Ex,Y,1593,1,0,1,1,0,1,Ex,5,Typ,1,Gd,2001,2,682,Y,0,120,0,0,224,0,0,8,2008,NA,NA,NA,286000
70,RL,70,10570,Pave,Reg,Bnk,AllPub,Mod,8,8,1932,0,Gd,TA,297,556,853,TA,Y,2727,0,0,2,1,3,1,Gd,10,Maj1,2,TA,1932,2,440,Y,0,74,0,0,0,0,0,12,2007,NA,NA,NA,315000
60,RL,NA,7472,Pave,IR1,Lvl,AllPub,Gtl,7,9,1972,138,TA,TA,626,99,725,Gd,Y,1479,1,0,1,1,4,1,Gd,7,Typ,0,NA,1972,2,484,Y,0,32,0,0,0,0,0,6,2007,NA,NA,NA,184000
20,RL,68,9017,Pave,IR1,Lvl,AllPub,Gtl,7,5,1999,0,Gd,TA,560,871,1431,Ex,Y,1431,1,0,2,0,3,1,Gd,6,Typ,0,NA,1999,2,666,Y,0,35,0,0,0,0,0,9,2009,NA,NA,NA,192000
160,RM,24,2522,Pave,Reg,Lvl,AllPub,Gtl,7,5,2004,50,Gd,TA,0,970,970,Ex,Y,1709,0,0,2,0,3,1,Gd,7,Maj1,0,NA,2004,2,380,Y,0,40,0,0,0,0,0,5,2006,NA,NA,NA,130000
20,RL,60,7180,Pave,IR1,Lvl,AllPub,Gtl,5,7,1972,0,TA,TA,390,474,864,TA,Y,864,0,0,1,0,3,1,TA,5,Typ,0,NA,1989,1,352,Y,0,0,0,0,0,0,0,5,2008,NA,NA,NA,127000
160,RL,24,2280,Pave,Reg,Lvl,AllPub,Gtl,6,6,1976,0,TA,TA,566,289,855,TA,Y,1456,0,0,2,1,3,1,TA,7,Typ,1,TA,1976,2,440,Y,87,0,0,0,0,0,0,7,2009,NA,NA,NA,148500
20,RL,79,9416,Pave,Reg,Lvl,AllPub,Gtl,7,5,2007,205,Ex,TA,1126,600,1726,Ex,Y,1726,1,0,2,0,3,1,Ex,8,Typ,1,Gd,2007,3,786,Y,171,138,0,0,266,0,0,9,2007,NA,NA,NA,311872
75,RL,174,25419,Pave,Reg,Lvl,AllPub,Gtl,8,4,1918,0,Gd,Gd,1036,140,1360,Gd,Y,3112,1,1,2,0,4,1,Gd,8,Typ,1,Ex,1918,2,795,Y,0,16,552,0,0,512,0,3,2006,Ex,GdPrv,NA,235000
75,RM,92,5520,Pave,Reg,Lvl,AllPub,Gtl,6,6,1912,0,TA,TA,0,755,755,Ex,Y,2229,0,0,1,0,5,1,TA,8,Typ,0,NA,NA,0,0,Y,0,198,30,0,0,0,0,7,2009,NA,MnPrv,NA,104000
20,RL,76,9591,Pave,Reg,Lvl,AllPub,Gtl,8,5,2004,262,Gd,TA,1088,625,1713,Ex,Y,1713,1,0,2,0,3,1,Ex,7,Typ,1,Gd,2004,3,856,Y,0,26,0,0,170,0,0,1,2009,NA,NA,NA,274900
20,RM,80,8546,Pave,Reg,Lvl,AllPub,Gtl,4,5,2003,0,TA,TA,0,1121,1121,Ex,Y,1121,0,0,2,0,2,1,TA,5,Typ,0,NA,2003,2,440,Y,132,64,0,0,0,0,0,3,2010,NA,NA,NA,140000
20,RL,75,10125,Pave,Reg,Lvl,AllPub,Gtl,6,6,1977,0,TA,TA,641,276,1196,TA,Y,1279,0,1,2,0,3,1,TA,6,Typ,2,Fa,1980,2,473,Y,238,83,0,0,0,0,0,2,2008,NA,MnPrv,NA,171500
50,RL,50,7000,Pave,Reg,Lvl,AllPub,Gtl,6,6,1924,0,TA,Gd,617,0,617,Gd,Y,1310,0,0,2,0,2,1,TA,6,Min1,0,NA,1924,1,398,Y,0,0,126,0,0,0,0,5,2006,NA,NA,NA,112000
120,RM,NA,4438,Pave,Reg,Lvl,AllPub,Gtl,6,5,2004,205,Gd,TA,662,186,848,Ex,Y,848,1,0,1,0,1,1,Gd,3,Typ,1,Gd,2004,2,420,Y,149,0,0,0,0,0,0,1,2008,NA,NA,NA,149000
50,RM,50,3500,Pave,Reg,Lvl,AllPub,Gtl,5,7,1947,0,TA,TA,312,408,720,TA,Y,1284,0,0,1,1,2,1,TA,5,Typ,0,NA,1948,1,240,Y,0,35,0,0,0,0,0,4,2009,NA,MnWw,NA,110000
